paper-people	paper-title	paper-journal	paper-numbers	paper-link	paper-doi	paper-text
Bhowmick, M., S. K. Mishra, B. Kravitz, S. Sahany, and P. Salunke, 2021:	Response of the Indian summer monsoon to global warming, solar geoengineering and its termination.	Scientific Reports,	11, 9791.	https://www.nature.com/articles/s41598-021-89249-6	DOI:10.1038/s41598-021-89249-6.	[Impact Factor: 5.0]
Singh, J., S. Sahany, and A. Robock, 2020:	Can Stratospheric Geoengineering Alleviate Global Warming-Induced Changes in Deciduous Fruit Cultivation? The case of Himachal Pradesh (India).	Climatic Change,	162(3), 1323-1343.	https://link.springer.com/article/10.1007/s10584-020-02786-3	DOI: 10.1007/s10584- 020-02786-3.	[Impact Factor: 5.2]
Bal, P. K., R. Pathak, S. K. Mishra, and S. Sahany, 2019:	Effects of Global Warming and Solar Geoengineering on Precipitation Seasonality.	Environmental Research Letters,	14(3).	https://iopscience.iop.org/article/10.1088/1748-9326/aafc7d	DOI:10.1088/1748-9326/aafc7d.	[Impact Factor: 6.9]
