paper-people	paper-title	paper-journal	paper-numbers	paper-link	paper-doi	paper-text
Bhuyan, D. P., P. Salunke, and M. Chadha, 2023:.	Climate projections for Himalaya-Tibetan Highland	Theoritical and Applied Climatology	155(2), 1-11.	https://link.springer.com/article/10.1007/s00704-023-04677-w 	DOI:10.1007/s00704-023-04677-w.	[Impact Factor: 3.4]
Salunke, P., N. Prasad, S. K. Mishra, and S. K. Dash, 2023:	Future Projections of Seasonal Temperature and Precipitation for India.	Frontiers in Climate	5, 1069994.	https://www.frontiersin.org/articles/10.3389/fclim.2023.1069994/full	DOI:10.3389/fclim.2023.1069994.	[Impact Factor: NA]
Tewari, K., S. K. Mishra, P. Salunke, and A. Dewan, 2022:	Future Projections of Temperature and Precipitation for Antarctica.	Environmental Research Letters,	17 014029.	https://iopscience.iop.org/article/10.1088/1748-9326/ac43e2	DOI:10.1088/1748-9326/ac43e2.	[Impact Factor: 6.9]
Jain, S., S. K. Mishra, A. Anand, P. Salunke and J. T. Fasullo, 2021:	Historical and Projected Low-Frequency Variability in the Somali Jet and Indian Summer Monsoon.	Climatie Dynamics,	56, 749-765.	https://link.springer.com/article/10.1007/s00382-020-05492-z	DOI:10.1007/s00382-020-05492-z.	[Impact Factor: 4.9]
Mishra, S. K., S. Jain, P. Salunke, and S. Sahany, 2019:	Past and Future Climate Change over the Himalaya-Tibetan Highland — Inferences from APHRODITE and NEX-GDDP Data.	Climatic Change	156, 315-322.	https://link.springer.com/article/10.1007/s10584-019-02473-y	DOI: 10.1007/s10584-019-02473-y.	[Impact Factor: 5.2]
Bhowmick, M., S. Sahany, and S. K. Mishra, 2019:	Projected Precipitation Changes over the South Asian Region for Every 0.5oC Increase in Global Warming.	Environmental Research Letters	14(5), 054005.	https://iopscience.iop.org/article/10.1088/1748-9326/ab1271	DOI: 10.1088/1748-9326/ab1271.	[Impact Factor: 6.9]
Sahany, S., S. K. Mishra, and P. Salunke, 2018:	Historical Simulations and Climate Change Projections over India by NCAR CCSM4: CMIP5 vs. NEX-GDDP.	Theoretical and Applied Climatology	135, 1423-1433.	https://link.springer.com/article/10.1007/s00704-018-2455-z	DOI:10.1007/s00704-018-2455-z.	[Impact Factor: 3.4]
Dash, S. K., S. K. Mishra, K. C. Pattnayak, A. Mamgain, L. Mariotti, E. Coppola, F. Giorgi, and G. Giuliani, 2015:	Projected Seasonal Mean Summer Monsoon over India and Adjoining Regions for the 21st Century.	Theoretical and Applied Climatology,	122(3-4), 581-593.	https://link.springer.com/article/10.1007/s00704-014-1310-0	DOI:10.1007/s00704-014-1310-0.	[Impact Factor: 3.4]
McBride, J. L., S. Sahany, M. E. Hassim, C. M. Nguyen, S. Y. Lim, R. Rahmat, and W. K. Cheong, 2015:	The 2014 Record Dry Spell at Singapore An Intertropical Convergence Zone (ITCZ)-drought.	Bulletin of the American Meteorological Society, 	96, S126–S130.	https://journals.ametsoc.org/view/journals/bams/96/12/bams-d-15-00117.1.xml	DOI:10.1175/BAMS-D-15-00117.1.	[Impact Factor: 9.1]
